==15508== NVPROF is profiling process 15508, command: ./Reduction -s 4
==15508== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==15508== Profiling application: ./Reduction -s 4
==15508== Profiling result:
==15508== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_per_warp","Instructions per warp",8245.125000,8245.125000,8245.125000
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"warp_execution_efficiency","Warp Execution Efficiency",99.988251%,99.988251%,99.988251%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.901741%,99.901812%,99.901788%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_replay_overhead","Instruction Replay Overhead",0.000450,0.000524,0.000478
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.995170,0.995170,0.995170
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.997576,0.997576,0.997576
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gld_transactions_per_request","Global Load Transactions Per Request",16.000004,16.000004,16.000004
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"shared_store_transactions","Shared Store Transactions",263424,263424,263424
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"shared_load_transactions","Shared Load Transactions",263744,263744,263744
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gld_transactions","Global Load Transactions",8388610,8388610,8388610
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gst_transactions","Global Store Transactions",64,64,64
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_read_transactions","L2 Read Transactions",2097248,2097736,2097255
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_write_transactions","L2 Write Transactions",84,86,84
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"dram_read_transactions","Device Memory Read Transactions",2097164,2097412,2097173
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"dram_write_transactions","Device Memory Write Transactions",60669,65311,64272
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gld_requested_throughput","Requested Global Load Throughput",238.263157GB/s,239.538859GB/s,239.023162GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gst_requested_throughput","Requested Global Store Throughput",953.051758KB/s,958.155273KB/s,956.088867KB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gld_throughput","Global Load Throughput",238.263157GB/s,239.538859GB/s,239.023162GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gst_throughput","Global Store Throughput",7.445724MB/s,7.485589MB/s,7.469470MB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"tex_cache_hit_rate","Unified Cache Hit Rate",49.999237%,49.999237%,49.999237%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",96.875000%,96.875000%,96.875000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"dram_read_throughput","Device Memory Read Throughput",238.264520GB/s,239.541600GB/s,239.025575GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"dram_write_throughput","Device Memory Write Throughput",6.907966GB/s,7.443129GB/s,7.325484GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"tex_cache_throughput","Unified Cache Throughput",238.263157GB/s,239.538859GB/s,239.023162GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",238.263157GB/s,239.538859GB/s,239.023162GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",7.445724MB/s,7.485589MB/s,7.469470MB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_read_throughput","L2 Throughput (Reads)",238.274064GB/s,239.549824GB/s,239.034919GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_write_throughput","L2 Throughput (Writes)",9.772511MB/s,10.036335MB/s,9.810860MB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"sysmem_write_throughput","System Memory Write Throughput",595.657227KB/s,598.846680KB/s,597.553711KB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"shared_load_throughput","Shared Memory Load Throughput",119.858700GB/s,120.500444GB/s,120.241022GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"shared_store_throughput","Shared Memory Store Throughput",119.713276GB/s,120.354241GB/s,120.095134GB/s
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"gst_efficiency","Global Memory Store Efficiency",12.500000%,12.500000%,12.500000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"tex_cache_transactions","Unified Cache Transactions",2097152,2097152,2097152
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_sp","Floating Point Operations(Single Precision)",16801792,16801792,16801792
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",16801792,16801792,16801792
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_executed","Instructions Executed",4221504,4221504,4221504
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_issued","Instructions Issued",4223402,4224121,4223525
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"dram_utilization","Device Memory Utilization","Mid (4)","Mid (4)","Mid (4)"
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.156559%,2.485129%,2.240928%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",5.737066%,5.866761%,5.824363%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"stall_memory_dependency","Issue Stall Reasons (Data Request)",90.175857%,90.542046%,90.385282%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"stall_sync","Issue Stall Reasons (Synchronization)",0.202418%,0.266152%,0.230871%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"stall_other","Issue Stall Reasons (Other)",0.715975%,0.733147%,0.726163%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.186561%,0.305425%,0.205980%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.095367%,0.102077%,0.098693%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"shared_efficiency","Shared Memory Efficiency",99.988239%,99.988239%,99.988239%
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_fp_32","FP Instructions(Single)",16801792,16801792,16801792
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_integer","Integer Instructions",75710656,75710656,75710656
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_control","Control-Flow Instructions",8454144,8454144,8454144
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_compute_ld_st","Load/Store Instructions",33693824,33693824,33693824
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_misc","Misc Instructions",295040,295040,295040
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"issue_slots","Issue Slots",3696490,3697207,3696609
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"cf_issued","Issued Control-Flow Instructions",265344,265344,265344
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"cf_executed","Executed Control-Flow Instructions",265344,265344,265344
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"ldst_issued","Issued Load/Store Instructions",2630400,2630400,2630400
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"ldst_executed","Executed Load/Store Instructions",1059072,1059072,1059072
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"atomic_transactions","Atomic Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void reduce<float, int=256>(float const *, float*, unsigned int)",569,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
